date,equity,cash,shares,close,drawdownPct
2020-10-22,310495.74,2.14,901,344.6099853515625,3.66
2020-10-23,311549.92,2.14,901,345.7799987792969,3.33
2020-10-26,305792.54,2.14,901,339.3900146484375,5.12
2020-10-27,304738.36,2.14,901,338.2200012207031,5.45
2020-10-28,294322.8,2.14,901,326.6600036621094,8.68
2020-10-29,297314.13,2.14,901,329.9800109863281,7.75
2020-10-30,294214.69,2.14,901,326.5400085449219,8.71
2020-11-02,297512.35,2.14,901,330.20001220703125,7.69
2020-11-03,302765.17,2.14,901,336.0299987792969,6.06
2020-11-04,309531.69,2.14,901,343.5400085449219,3.96
2020-11-05,315568.37,2.14,901,350.239990234375,2.09
2020-11-06,315496.3,2.14,901,350.1600036621094,2.11
2020-11-09,319460.7,2.14,901,354.55999755859375,0.88
2020-11-10,318992.19,2.14,901,354.0400085449219,1.02
2020-11-11,321361.82,2.14,901,356.6700134277344,0.29
2020-11-12,318244.34,2.14,901,353.2099914550781,1.26
2020-11-13,322650.25,2.14,901,358.1000061035156,0
2020-11-16,326677.72,2.14,901,362.57000732421875,0
2020-11-17,324920.76,2.14,901,360.6199951171875,0.54
2020-11-18,321010.42,2.14,901,356.2799987792969,1.73
2020-11-19,322361.92,2.14,901,357.7799987792969,1.32
2020-11-20,320154.46,2.14,901,355.3299865722656,2
2020-11-23,322073.59,2.14,901,357.4599914550781,1.41
2020-11-24,327263.36,2.14,901,363.2200012207031,0
2020-11-25,326758.8,2.14,901,362.6600036621094,0.15
2020-11-27,327668.82,2.14,901,363.6700134277344,0
2020-11-30,326218.2,2.14,901,362.05999755859375,0.44
2020-12-01,329786.15,2.14,901,366.0199890136719,0
2020-12-02,330479.94,2.14,901,366.7900085449219,0
2020-12-03,330389.83,2.14,901,366.69000244140625,0.03
2020-12-04,333237,2.14,901,369.8500061035156,0
2020-12-07,332552.23,2.14,901,369.0899963378906,0.21
2020-12-08,333525.32,2.14,901,370.1700134277344,0
2020-12-09,330534,2.14,901,366.8500061035156,0.9
2020-12-10,330425.88,2.14,901,366.7300109863281,0.93
2020-12-11,330038.43,2.14,901,366.29998779296875,1.05
2020-12-14,328560.8,2.14,901,364.6600036621094,1.49
2020-12-15,333002.73,2.14,901,369.5899963378906,0.16
2020-12-16,333525.32,2.14,901,370.1700134277344,0
2020-12-17,335390.37,2.14,901,372.239990234375,0
2020-12-18,332633.31,2.14,901,369.17999267578125,0.82
2020-12-21,331443.99,2.14,901,367.8599853515625,1.18
2020-12-22,330885.37,2.14,901,367.239990234375,1.34
2020-12-23,331182.72,2.14,901,367.57000732421875,1.25
2020-12-24,332471.14,2.14,901,369,0.87
2020-12-28,335327.32,2.14,901,372.1700134277344,0.02
2020-12-29,334687.59,2.14,901,371.4599914550781,0.21
2020-12-30,335165.12,2.14,901,371.989990234375,0.07
2020-12-31,336868.03,2.14,901,373.8800048828125,0
2021-01-04,332281.94,2.14,901,368.7900085449219,1.36
2021-01-05,334570.46,2.14,901,371.3299865722656,0.68
2021-01-06,336570.68,2.14,901,373.54998779296875,0.09
2021-01-07,341571.25,2.14,901,379.1000061035156,0
2021-01-08,343517.41,2.14,901,381.260009765625,0
2021-01-11,341201.83,2.14,901,378.69000244140625,0.67
2021-01-12,341273.9,2.14,901,378.7699890136719,0.65
2021-01-13,342192.94,2.14,901,379.7900085449219,0.39
2021-01-14,340994.59,2.14,901,378.4599914550781,0.73
2021-01-15,338507.85,2.14,901,375.70001220703125,1.46
2021-01-19,341165.79,2.14,901,378.6499938964844,0.68
2021-01-20,345887.04,2.14,901,383.8900146484375,0
2021-01-21,346202.37,2.14,901,384.239990234375,0
2021-01-22,344977.03,2.14,901,382.8800048828125,0.35
2021-01-25,346337.54,2.14,901,384.3900146484375,0
2021-01-26,345796.94,2.14,901,383.7900085449219,0.16
2021-01-27,337345.55,2.14,901,374.4100036621094,2.6
2021-01-28,340246.78,2.14,901,377.6300048828125,1.76
2021-01-29,333435.22,2.14,901,370.07000732421875,3.73
2021-02-01,338985.38,2.14,901,376.2300109863281,2.12
2021-02-02,343778.68,2.14,901,381.54998779296875,0.74
2021-02-03,344049,2.14,901,381.8500061035156,0.66
2021-02-04,347959.33,2.14,901,386.19000244140625,0
2021-02-05,349328.84,2.14,901,387.7099914550781,0
2021-02-08,351851.66,2.14,901,390.510009765625,0
2021-02-09,351617.39,2.14,901,390.25,0.07
2021-02-10,351464.21,2.14,901,390.0799865722656,0.11
2021-02-11,352031.84,2.14,901,390.7099914550781,0
2021-02-12,353770.79,2.14,901,392.6400146484375,0
2021-02-16,353464.43,2.14,901,392.29998779296875,0.09
2021-02-17,353545.54,2.14,901,392.3900146484375,0.06
2021-02-18,352040.86,2.14,901,390.7200012207031,0.49
2021-02-19,351419.17,2.14,901,390.0299987792969,0.66
2021-02-22,348716.17,2.14,901,387.0299987792969,1.43
2021-02-23,349139.64,2.14,901,387.5,1.31
2021-02-24,352986.9,2.14,901,391.7699890136719,0.22
2021-02-25,344481.46,2.14,901,382.3299865722656,2.63
2021-02-26,342706.49,2.14,901,380.3599853515625,3.13
2021-03-01,351013.71,2.14,901,389.5799865722656,0.78
2021-03-02,348274.69,2.14,901,386.5400085449219,1.55
2021-03-03,343661.57,2.14,901,381.4200134277344,2.86
2021-03-04,339408.85,2.14,901,376.70001220703125,4.06
2021-03-05,345652.78,2.14,901,383.6300048828125,2.29
2021-03-08,343931.86,2.14,901,381.7200012207031,2.78
2021-03-09,348842.32,2.14,901,387.1700134277344,1.39
